sheet,id,class,subclass,variable,calculated
sheet2,malu_industry_e,MANAGED CONVENTIONAL,Industry,evaporation,FALSE
sheet2,malu_crops_e,MANAGED CONVENTIONAL,Irrigated crops,evaporation,FALSE
sheet2,malu_waterbodies_e,MANAGED CONVENTIONAL,Managed water bodies,evaporation,FALSE
sheet2,malu_others1_e,MANAGED CONVENTIONAL,Others,evaporation,FALSE
sheet2,malu_residential_e,MANAGED CONVENTIONAL,Residential,evaporation,FALSE
sheet2,malu_greenhouses_e,MANAGED NON_CONVENTIONAL,Greenhouses,evaporation,FALSE
sheet2,malu_idomestic_e,MANAGED NON_CONVENTIONAL,Indoor domestic,evaporation,FALSE
sheet2,malu_iiindustry_e,MANAGED NON_CONVENTIONAL,Indoor industry,evaporation,FALSE
sheet2,malu_livestock_e,MANAGED NON_CONVENTIONAL,Livestock and husbandry,evaporation,FALSE
sheet2,malu_others2_e,MANAGED NON_CONVENTIONAL,Others,evaporation,FALSE
sheet2,malu_powerandenergy_e,MANAGED NON_CONVENTIONAL,Power and energy,evaporation,FALSE
sheet2,molu_forest_e,MODIFIED,Forest plantations,evaporation,FALSE
sheet2,molu_others_e,MODIFIED,Others,evaporation,FALSE
sheet2,molu_rainfed_e,MODIFIED,Rainfed crops,evaporation,FALSE
sheet2,molu_settlements_e,MODIFIED,Settlements,evaporation,FALSE
sheet2,plu_forest_e,PROTECTED,Forest,evaporation,FALSE
sheet2,plu_glaciers_e,PROTECTED,Glaciers,evaporation,FALSE
sheet2,plu_grasslands_e,PROTECTED,Natural grasslands,evaporation,FALSE
sheet2,plu_waterbodies_e,PROTECTED,Natural water bodies,evaporation,FALSE
sheet2,plu_others_e,PROTECTED,Others,evaporation,FALSE
sheet2,plu_shrubland_e,PROTECTED,Shrubland,evaporation,FALSE
sheet2,plu_wetlands_e,PROTECTED,Wetlands,evaporation,FALSE
sheet2,ulu_forest_e,UTILIZED,Forest,evaporation,FALSE
sheet2,ulu_grasslands_e,UTILIZED,Natural grasslands,evaporation,FALSE
sheet2,ulu_waterbodies_e,UTILIZED,Natural water bodies,evaporation,FALSE
sheet2,ulu_others_e,UTILIZED,Others,evaporation,FALSE
sheet2,ulu_shrubland_e,UTILIZED,Shrubland,evaporation,FALSE
sheet2,ulu_wetlands_e,UTILIZED,Wetlands,evaporation,FALSE
sheet2,malu_industry_et,MANAGED CONVENTIONAL,Industry,et,FALSE
sheet2,malu_crops_et,MANAGED CONVENTIONAL,Irrigated crops,et,FALSE
sheet2,malu_waterbodies_et,MANAGED CONVENTIONAL,Managed water bodies,et,FALSE
sheet2,malu_others1_et,MANAGED CONVENTIONAL,Others,et,FALSE
sheet2,malu_residential_et,MANAGED CONVENTIONAL,Residential,et,FALSE
sheet2,malu_greenhouses_et,MANAGED NON_CONVENTIONAL,Greenhouses,et,FALSE
sheet2,malu_idomestic_et,MANAGED NON_CONVENTIONAL,Indoor domestic,et,FALSE
sheet2,malu_iiindustry_et,MANAGED NON_CONVENTIONAL,Indoor industry,et,FALSE
sheet2,malu_livestock_et,MANAGED NON_CONVENTIONAL,Livestock and husbandry,et,FALSE
sheet2,malu_others2_et,MANAGED NON_CONVENTIONAL,Others,et,FALSE
sheet2,malu_powerandenergy_et,MANAGED NON_CONVENTIONAL,Power and energy,et,FALSE
sheet2,molu_forest_et,MODIFIED,Forest plantations,et,FALSE
sheet2,molu_others_et,MODIFIED,Others,et,FALSE
sheet2,molu_rainfed_et,MODIFIED,Rainfed crops,et,FALSE
sheet2,molu_settlements_et,MODIFIED,Settlements,et,FALSE
sheet2,plu_forest_et,PROTECTED,Forest,et,FALSE
sheet2,plu_glaciers_et,PROTECTED,Glaciers,et,FALSE
sheet2,plu_grasslands_et,PROTECTED,Natural grasslands,et,FALSE
sheet2,plu_waterbodies_et,PROTECTED,Natural water bodies,et,FALSE
sheet2,plu_others_et,PROTECTED,Others,et,FALSE
sheet2,plu_shrubland_et,PROTECTED,Shrubland,et,FALSE
sheet2,plu_wetlands_et,PROTECTED,Wetlands,et,FALSE
sheet2,ulu_forest_et,UTILIZED,Forest,et,FALSE
sheet2,ulu_grasslands_et,UTILIZED,Natural grasslands,et,FALSE
sheet2,ulu_waterbodies_et,UTILIZED,Natural water bodies,et,FALSE
sheet2,ulu_others_et,UTILIZED,Others,et,FALSE
sheet2,ulu_shrubland_et,UTILIZED,Shrubland,et,FALSE
sheet2,ulu_wetlands_et,UTILIZED,Wetlands,et,FALSE
sheet2,malu_industry_b,MANAGED CONVENTIONAL,Industry,beneficial,FALSE
sheet2,malu_crops_b,MANAGED CONVENTIONAL,Irrigated crops,beneficial,FALSE
sheet2,malu_waterbodies_b,MANAGED CONVENTIONAL,Managed water bodies,beneficial,FALSE
sheet2,malu_others1_b,MANAGED CONVENTIONAL,Others,beneficial,FALSE
sheet2,malu_residential_b,MANAGED CONVENTIONAL,Residential,beneficial,FALSE
sheet2,malu_greenhouses_b,MANAGED NON_CONVENTIONAL,Greenhouses,beneficial,FALSE
