CLASS,SUBCLASS,VARIABLE,VALUE,iso3,sheet,year
INFLOW,SURFACE WATER,Main riverstem,0,ken,sheet1,2013
INFLOW,SURFACE WATER,Tributaries,0,ken,sheet1,2013
INFLOW,SURFACE WATER,Utilized surface water,0,ken,sheet1,2013
INFLOW,SURFACE WATER,Flood,0,ken,sheet1,2013
INFLOW,GROUNDWATER,Natural,0,ken,sheet1,2013
INFLOW,GROUNDWATER,Utilized,0,ken,sheet1,2013
INFLOW,OTHER,Desalinized,0,ken,sheet1,2013
STORAGE,CHANGE,Surface storage,-2.31621779919524,ken,sheet1,2013
STORAGE,CHANGE,Storage in sinks,0,ken,sheet1,2013
OUTFLOW,ET LANDSCAPE,Protected,1.54878971506946,ken,sheet1,2013
OUTFLOW,ET LANDSCAPE,Utilized,2.75230029410577,ken,sheet1,2013
OUTFLOW,ET LANDSCAPE,Modified,3.2133380928117,ken,sheet1,2013
OUTFLOW,ET LANDSCAPE,Managed,0.10025104492771,ken,sheet1,2013
OUTFLOW,ET UTILIZED FLOW,Protected,0.238380139901537,ken,sheet1,2013
OUTFLOW,ET UTILIZED FLOW,Utilized,1.02375684731589,ken,sheet1,2013
OUTFLOW,ET UTILIZED FLOW,Modified,0.388379075735327,ken,sheet1,2013
OUTFLOW,ET UTILIZED FLOW,Managed,1.7048493934374,ken,sheet1,2013
OUTFLOW,ET INCREMENTAL,Manmade,0.0140074619729318,ken,sheet1,2013
OUTFLOW,ET INCREMENTAL,Natural,1.65051606295276,ken,sheet1,2013
OUTFLOW,SURFACE WATER,Main riverstem,4.3298403695,ken,sheet1,2013
OUTFLOW,SURFACE WATER,Tributaries,0,ken,sheet1,2013
OUTFLOW,SURFACE WATER,Utilized surface water,0,ken,sheet1,2013
OUTFLOW,SURFACE WATER,Flood,0,ken,sheet1,2013
OUTFLOW,SURFACE WATER,Interbasin transfer,0,ken,sheet1,2013
OUTFLOW,GROUNDWATER,Natural,0,ken,sheet1,2013
